Age,Workclass,Education_Num,Marital-status,Occupation,Relationship,Hours/week,Native_Country,Result,Sex_Race
39,5,13,4,0,1,40,38,0,9
50,4,13,2,3,0,13,38,0,9
38,2,9,0,5,1,40,38,0,9
53,2,7,2,5,0,40,38,0,7
37,2,14,2,3,5,40,38,0,4
52,4,9,2,3,0,45,38,1,9
31,2,14,4,9,1,50,38,1,4
42,2,13,2,3,0,40,38,1,9
37,2,10,2,3,0,80,38,1,7
30,5,13,2,9,0,40,18,1,6
23,2,13,4,0,3,30,38,0,4
34,2,4,2,13,0,45,25,0,5
25,4,9,4,4,3,35,38,0,9
32,2,9,4,6,4,40,38,0,9
38,2,7,2,11,0,50,38,0,9
40,2,16,2,9,0,60,38,1,9
54,2,9,5,7,4,20,38,0,2
43,2,7,2,13,0,40,38,0,9
59,2,9,0,12,4,40,38,0,4
56,1,13,2,12,0,40,38,1,9
19,2,9,4,2,3,40,38,0,9
39,2,9,0,3,1,80,38,0,9
49,2,9,2,2,0,40,38,0,9
23,1,12,4,10,1,52,38,0,9
20,2,10,4,11,3,44,38,0,7
45,2,13,0,3,3,40,38,0,9
30,0,10,2,0,3,40,38,0,9
22,5,10,2,7,0,15,38,0,7
21,2,10,4,6,3,40,38,0,9
19,2,9,1,0,5,25,38,0,4
48,4,12,2,9,0,40,38,0,9
31,2,5,2,6,0,43,38,0,9
53,4,13,2,9,0,40,38,0,9
24,2,13,2,12,0,50,38,0,9
49,2,9,5,0,4,40,38,0,4
25,2,9,4,5,1,35,38,0,9
57,0,13,2,9,0,40,38,1,7
53,2,9,2,6,0,38,38,0,9
44,2,14,0,3,4,40,38,0,4
41,5,11,2,2,0,40,38,0,9
29,2,11,4,9,1,43,38,0,9
25,2,10,2,3,5,40,38,0,3
47,2,15,2,9,5,60,15,1,4
50,0,13,0,3,1,55,38,1,9
47,3,9,0,3,1,60,38,0,9
43,2,10,2,12,0,40,38,1,9
46,2,3,2,6,0,40,25,0,9
35,2,11,2,7,0,40,32,0,9
41,2,9,2,0,0,48,38,0,9
30,2,9,2,6,0,40,38,0,9
30,2,13,2,11,0,40,38,0,9
48,2,9,2,13,0,40,38,0,9
42,2,16,2,9,0,45,38,1,9
29,2,10,0,12,1,58,38,0,9
28,2,10,0,0,1,40,38,0,4
