Age,Workclass,Education_Num,Marital-status,Occupation,Relationship,Hours/week,Native_Country,Result,Sex_Race
38,4,13,5,-2,4,36,36,0,9
47,3,13,2,4,3,18,36,0,9
37,2,8,-1,6,4,36,36,0,9
23,3,8,5,5,4,28,36,0,7
37,2,6,2,10,3,49,36,0,4
38,2,8,-1,4,4,63,36,1,9
46,2,8,2,2,3,36,36,1,4
20,0,12,5,9,4,51,36,1,9
43,2,13,-1,4,4,36,36,1,7
17,2,10,5,6,4,36,36,1,6
30,2,5,2,6,3,43,36,0,4
50,3,13,2,8,3,36,36,0,5
22,2,13,2,12,3,49,36,0,9
23,2,8,5,6,4,28,36,0,9
50,2,8,2,6,3,29,36,0,9
28,2,11,5,8,4,43,36,1,9
47,0,13,-1,4,4,52,36,0,2
41,2,10,2,12,3,36,36,0,9
34,2,11,2,7,3,36,31,0,4
39,2,8,2,-2,3,47,36,1,9
29,2,8,2,6,3,36,36,0,9
29,2,13,2,10,3,36,36,0,9
40,2,17,2,8,3,46,36,0,9
46,3,10,2,4,3,49,36,0,9
28,3,13,2,10,3,59,36,0,7
20,2,10,5,6,4,36,36,0,9
30,0,4,2,5,3,36,36,0,9
9,2,8,5,10,4,26,36,0,7
49,2,13,2,7,3,36,29,0,9
46,0,8,2,9,3,36,36,0,4
32,2,15,2,8,3,49,36,0,9
29,2,5,5,10,4,36,36,0,9
53,2,11,2,8,3,36,36,0,9
33,0,13,2,9,3,36,36,0,9
28,0,10,5,6,4,49,36,0,4
46,3,17,2,8,3,55,36,0,9
36,2,10,2,10,3,47,36,1,7
31,3,8,2,2,3,36,36,0,9
29,2,6,5,6,4,36,36,0,4
22,2,13,5,10,4,36,36,0,9
37,2,16,2,8,3,36,36,0,9
52,3,8,2,7,3,49,29,0,3
50,2,5,2,6,3,49,36,1,4
52,2,10,2,10,3,52,36,1,9
18,2,8,5,2,4,43,36,0,9
39,2,13,2,4,3,55,36,1,9
36,2,13,2,10,3,49,36,0,9
37,0,15,2,8,3,36,30,0,9
41,3,8,2,2,3,55,36,0,9
