Age,Workclass,Education,Education_Num,Marital-status,Occupation,Relationship,Hours/week,Native_Country,Sex_Race
39,2,10,9,2,9,5,43,37,2
39,2,8,14,1,4,3,63,37,9
39,3,10,9,2,11,5,61,23,4
39,2,2,5,1,7,3,43,37,9
39,2,15,11,3,7,3,43,37,1
39,2,5,7,3,7,3,57,24,9
39,2,10,9,1,5,2,66,37,9
39,2,15,11,3,7,3,43,37,9
39,2,6,13,1,4,3,32,26,9
39,2,15,11,1,10,3,29,37,9
39,0,15,11,1,4,3,43,37,9
39,4,10,9,3,7,3,43,37,9
39,2,10,9,3,7,2,43,37,9
39,2,15,11,1,2,3,43,37,9
39,2,2,5,5,7,3,15,37,2
39,4,10,9,1,7,3,43,37,0
39,2,10,9,3,5,2,60,37,9
39,2,10,9,7,5,3,43,37,9
39,4,15,11,3,9,2,43,37,9
39,2,13,17,1,9,2,66,37,9
39,2,10,9,2,7,2,43,37,4
39,2,8,14,1,9,3,43,37,4
39,2,7,12,1,2,3,43,37,4
39,2,15,11,5,2,3,43,37,9
39,1,15,11,3,10,2,43,37,4
39,2,10,9,3,2,3,43,37,7
39,2,10,9,1,2,3,35,37,9
39,2,10,9,1,7,3,43,37,1
39,4,8,17,3,9,2,29,37,9
39,2,10,9,3,5,3,33,37,9
39,2,10,9,2,2,5,58,37,4
39,2,10,9,2,4,5,56,37,4
49,2,13,3,3,7,2,43,24,4
49,1,15,11,5,7,3,27,37,9
49,2,10,9,2,11,5,43,37,9
49,4,10,9,7,13,3,43,37,9
49,2,15,11,1,4,2,56,37,9
49,2,10,9,7,9,3,43,37,9
49,0,8,14,1,9,3,43,37,2
49,1,10,9,5,4,3,32,37,9
49,1,15,11,1,7,3,43,37,9
49,0,10,9,3,2,3,15,37,4
49,4,8,14,1,2,2,34,37,9
49,2,10,9,1,9,3,43,37,9
49,2,15,11,1,5,2,43,37,2
49,2,4,6,1,7,2,43,37,9
49,1,10,9,3,7,2,43,37,4
49,1,15,11,1,2,2,43,37,9
49,2,6,13,2,4,5,43,37,4
38,2,10,9,2,11,5,43,37,4
38,2,10,9,3,5,2,43,37,9
38,2,15,11,3,11,3,43,37,4
38,2,12,16,3,4,2,35,37,4
38,2,5,7,3,5,2,58,37,9
38,2,10,9,3,7,3,43,37,4
38,2,15,11,7,7,2,56,24,9
38,1,8,14,1,9,3,43,37,4
38,2,6,13,3,7,3,29,37,9
38,2,15,11,3,7,3,43,37,9
38,2,7,12,1,2,3,43,37,4
38,2,7,12,3,2,3,43,37,9
38,1,15,11,3,10,3,43,37,9
38,0,10,9,3,2,3,43,37,9
38,2,15,11,3,2,3,43,37,9
38,2,6,13,1,4,3,43,37,9
38,2,15,11,1,2,3,23,37,9
38,2,6,4,2,7,5,26,24,7
38,4,10,9,2,2,5,43,37,9
38,2,15,11,1,5,2,27,37,9
38,2,10,9,3,7,3,43,37,4
38,2,15,11,3,2,3,43,37,9
38,1,15,11,2,4,3,32,37,4
38,1,15,11,1,4,3,56,37,0
38,2,12,16,3,4,3,32,37,9
38,2,10,9,5,7,3,30,37,4
38,2,15,11,1,4,3,43,37,7
38,2,4,6,1,5,3,60,37,9
38,4,15,11,5,2,3,35,37,2
38,4,8,14,2,4,5,29,37,9
38,0,15,11,1,5,3,43,37,9
38,1,8,14,2,9,5,43,37,9
38,2,10,9,3,7,3,26,37,7
38,2,8,14,1,9,3,56,37,2
38,2,6,13,3,5,2,58,37,9
38,2,10,9,3,4,3,43,37,9
38,4,10,9,3,7,3,43,37,9
38,2,4,6,3,7,3,43,37,9
38,0,15,11,1,13,3,43,37,4
38,2,15,11,2,7,5,43,37,2
38,2,10,9,1,7,3,30,37,9
38,1,15,11,7,15,2,56,37,9
38,2,10,9,5,15,3,29,37,4
38,2,15,11,2,2,5,43,37,4
38,4,10,9,3,7,3,35,37,9
38,2,10,9,5,8,3,43,37,9
51,2,10,9,2,2,5,30,37,4
51,1,12,16,7,9,3,32,37,7
51,2,2,5,5,7,3,43,37,9
51,2,15,11,3,4,2,43,37,7
51,0,6,13,2,2,5,43,37,9
51,2,10,9,1,4,2,43,37,4
51,2,5,3,1,7,3,43,23,9
51,2,10,9,7,7,3,23,37,9
51,2,10,9,7,5,2,43,37,9
51,2,10,9,7,4,3,43,37,4
51,3,15,11,2,4,5,29,37,9
51,2,10,9,5,5,2,43,37,4
51,2,10,9,1,7,3,23,37,9
51,2,6,13,3,2,3,43,37,9
51,2,10,9,1,5,3,43,37,9
51,2,10,9,1,4,3,57,37,6
51,2,5,3,2,8,5,14,24,7
51,4,6,13,2,9,5,34,37,7
51,0,8,14,1,4,3,58,37,9
51,2,15,11,5,4,3,43,37,9
37,2,4,6,5,2,3,43,37,4
37,0,10,9,3,2,3,43,37,4
37,2,8,14,3,9,2,43,37,9
37,1,7,12,3,7,3,30,37,2
37,2,6,13,3,11,3,43,37,9
37,4,15,11,3,9,3,18,37,9
37,2,5,7,5,8,3,43,37,9
37,0,10,9,3,4,3,43,37,9
37,2,10,9,3,5,3,43,37,9
37,2,10,9,1,7,3,29,37,9
37,2,10,9,1,7,2,29,37,9
37,2,10,9,1,2,3,43,37,9
37,4,7,12,3,9,3,43,37,4
37,2,10,9,1,7,2,23,37,4
37,2,15,11,3,13,3,43,37,9
37,2,10,9,3,2,3,43,37,4
37,2,12,16,3,4,2,43,37,9
37,2,15,11,3,4,3,43,37,9
37,2,8,14,3,2,2,43,37,9
37,2,7,12,2,11,3,30,37,9
37,1,10,9,1,2,3,32,37,9
37,0,6,13,1,4,3,43,37,9
37,3,4,6,1,9,3,29,37,1
37,2,10,9,2,7,2,32,37,9
37,2,4,6,5,7,3,43,37,4
37,2,8,14,3,2,3,27,37,9
37,2,10,9,5,7,3,27,37,9
37,2,8,14,3,11,2,43,37,9
37,3,10,9,2,7,3,43,37,9
37,2,15,11,1,2,2,34,37,9
37,2,10,9,2,13,5,32,37,9
37,2,8,14,3,2,2,43,37,9
37,2,10,9,1,5,3,43,37,9
37,1,15,11,3,2,3,43,37,2
37,1,6,13,2,7,3,58,37,9
37,1,15,11,2,2,3,43,37,9
37,0,15,11,3,2,2,43,37,9
50,2,15,11,1,11,2,43,37,9
50,2,5,4,1,8,3,20,37,9
50,2,10,9,3,2,3,43,37,9
50,2,10,9,1,7,2,35,37,9
50,2,10,9,1,8,3,26,37,9
50,3,10,9,7,7,3,55,37,4
50,0,8,14,5,2,3,43,37,9
50,2,8,14,2,7,2,43,24,4
50,3,2,5,2,4,5,43,37,9
50,2,15,11,3,2,2,30,37,9
50,2,10,9,7,2,2,43,37,4
50,2,6,4,5,7,2,29,37,9
50,4,12,16,2,9,5,43,37,4
50,0,15,11,1,2,3,43,37,7
50,0,2,5,5,2,3,43,37,9
50,1,10,9,2,7,5,23,37,2
50,2,10,9,7,2,3,32,37,9
50,0,5,7,3,7,3,43,37,7
50,2,4,6,1,5,2,23,37,9
50,2,4,6,7,7,3,43,37,9
50,2,2,5,7,11,3,43,37,9
31,2,15,11,3,2,3,43,37,9
31,2,7,12,2,4,5,55,37,9
31,2,15,11,2,2,5,43,37,4
31,4,15,11,3,7,3,43,37,9
31,2,10,9,3,15,3,29,37,9
